alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,0,0,0,XCp,,,,,,
0,0,0.00507,0.00066,0,0.4119,0.4119,-0.4129,0,0,0,0.4721,,,,,,
0.5,0.0565,0.00508,0.00067,-0.0001,0.369,0.4556,-0.4798,0,0,0,0.2472,,,,,,
1,0.113,0.00514,0.00071,-0.0002,0.3239,0.498,-0.5595,0,0,0,0.247,,,,,,
1.5,0.1693,0.00521,0.00077,-0.0002,0.2819,0.5422,-0.656,0,0,0,0.2468,,,,,,
2,0.2257,0.00531,0.00085,-0.0003,0.2406,0.5842,-0.7726,0,0,0,0.2466,,,,,,
2.5,0.2818,0.00544,0.00095,-0.0003,0.2002,0.629,-0.9104,0,0,0,0.2462,,,,,Gradient of lift coefficient for every degree increase in alpha,0.110804412
3,0.3377,0.0056,0.00108,-0.0003,0.1628,0.673,-1.0715,0,0,0,0.2459,,,,,,
3.5,0.3936,0.00577,0.00125,-0.0003,0.13,0.7167,-1.255,0,0,0,0.2454,,,,,,
4,0.4493,0.00594,0.00142,-0.0002,0.1042,0.7607,-1.4592,0,0,0,0.2449,,,,,,
4.5,0.5049,0.00615,0.00163,-0.0001,0.0807,0.8018,-1.6924,0,0,0,0.2444,,,,,,
5,0.5603,0.00635,0.00184,0.0001,0.0649,0.8417,-1.9432,0,0,0,0.2438,,,,,,
5.5,0.6156,0.00655,0.00207,0.0002,0.0531,0.877,-2.2244,0,0,0,0.2431,,,,,,
6,0.6705,0.00679,0.00233,0.0005,0.044,0.9075,-2.5167,0,0,0,0.2424,,,,,,
6.5,0.7247,0.00706,0.00262,0.0009,0.0358,0.933,-2.8426,0,0,0,0.2414,,,,,,
7,0.7785,0.00734,0.00291,0.0014,0.0312,0.9535,-3.1911,0,0,0,0.2404,,,,,,
7.5,0.8315,0.00764,0.0032,0.0021,0.0274,0.9706,-3.5511,0,0,0,0.2392,,,,,,
8,0.884,0.008,0.00354,0.0028,0.0233,0.9834,-3.923,0,0,0,0.2381,,,,,,
8.5,0.9402,0.00837,0.00389,0.0027,0.021,0.9916,-4.3479,0,0,0,0.2379,,,,,,
9,0.9989,0.00879,0.00429,0.0018,0.0184,0.9964,-4.8143,0,0,0,0.2383,,,,,,
9.5,1.0613,0.00922,0.0047,0.0002,0.0171,0.9976,-5.3168,0,0,0,0.2394,,,,,,
10,1.1222,0.00977,0.00521,-0.0013,0.0146,0.9989,-5.8284,0,0,0,0.2401,,,,,,
10.5,1.1828,0.01022,0.00567,-0.0026,0.014,1,-6.3623,0,0,0,0.2405,,,,,,
11,1.2273,0.01067,0.00611,-0.0005,0.0134,1,-6.8385,0,0,0,0.238,,,,,,
11.5,1.2729,0.01123,0.00666,0.0013,0.0121,1,-7.3324,0,0,0,0.2358,,,,,,
12,1.32,0.01188,0.00731,0.0026,0.0106,1,-7.8545,0,0,0,0.2341,,,,,,
12.5,1.3689,0.01241,0.00786,0.0036,0.0104,1,-8.443,0,0,0,0.2327,,,,,,
13,1.4174,0.01298,0.00844,0.0045,0.0102,1,-9.0461,0,0,0,0.2313,,,,,,
13.5,1.4646,0.01363,0.00911,0.0056,0.0098,1,-9.6581,0,0,0,0.2298,,,,,,
14,1.51,0.01438,0.00987,0.0069,0.0093,1,-10.2745,0,0,0,0.2282,,,,,,
14.5,1.5533,0.01525,0.01076,0.0085,0.0086,1,-10.8894,0,0,0,0.2264,,,,,,
15,1.5942,0.01621,0.01176,0.0103,0.0079,1,-11.4989,0,0,0,0.2245,,,,,,
